ReportID,Timestamp,ScreenLoadTime,DbQueryTime,MemoryUsage,GcEvents,ExceptionsLogged
306,2025-04-06T14:09:44.952109400,0,0,150,15,
307,2025-04-06T14:09:48.716107900,0,0,1990,42,
308,2025-04-06T14:10:27.513914300,0,0,1863,49,
309,2025-04-06T14:10:35.199697500,0,0,3668,92,
310,2025-04-06T14:10:37.899347,0,0,1868,94,
311,2025-04-06T14:10:43.391623800,0,0,3766,94,
312,2025-04-06T14:15:15.319404,181,181,147,9,
313,2025-04-06T14:15:16.776404,0,0,98,12,
314,2025-04-06T14:15:30.842401200,3,2,1962,53,
315,2025-04-06T14:16:08.051446700,0,0,2024,62,
316,2025-04-06T14:16:16.387789800,3,0,3831,71,
317,2025-04-06T14:16:18.858004200,0,0,3827,72,
318,2025-04-06T14:16:33.262143500,4,0,3713,90,
319,2025-04-06T14:17:01.764138200,0,0,3785,90,
320,2025-04-06T14:17:08.177138100,0,0,3659,139,
321,2025-04-06T14:17:15.498445,155,155,3718,147,
322,2025-04-06T14:17:29.503476200,25,-1,2049,158,
323,2025-04-06T14:26:16.950391800,188,188,145,9,
324,2025-04-06T14:26:19.162892600,0,0,123,12,
325,2025-04-06T14:26:26.258454800,0,0,1989,56,
326,2025-04-06T14:27:34.055969200,153,153,145,8,
327,2025-04-06T14:27:35.701464600,1,1,117,11,
328,2025-04-06T14:27:40.187967100,0,0,1989,57,
329,2025-04-06T14:28:56.861504200,345,344,146,8,
330,2025-04-06T14:28:58.302501700,0,0,91,11,
331,2025-04-06T14:29:05.718503800,0,0,3760,70,
332,2025-04-06T14:29:10.306203900,142,142,1906,77,
333,2025-04-06T14:29:12.418849800,0,0,2004,88,
334,2025-04-06T14:29:21.858203400,0,0,3762,127,
335,2025-04-06T14:30:14.262598400,141,141,148,6,
336,2025-04-06T14:30:15.766098800,0,0,220,6,
337,2025-04-06T14:30:22.313097300,0,0,3769,61,
338,2025-04-06T14:32:11.844295700,122,122,3836,64,
339,2025-04-06T14:32:13.310295100,0,0,3971,64,
340,2025-04-06T14:32:19.603804100,0,0,3774,112,
341,2025-04-06T14:32:59.439957200,161,160,147,8,
342,2025-04-06T14:33:01.224955600,0,0,183,11,
343,2025-04-06T14:33:10.533608900,0,0,3768,46,
344,2025-04-06T14:38:03.545879700,164,164,146,8,
345,2025-04-06T14:38:06.760540800,0,0,205,11,
346,2025-04-06T14:38:13.134909800,0,0,3799,54,
347,2025-04-06T14:39:07.669712600,0,0,3870,54,
348,2025-04-06T14:52:07.745486,177,176,144,8,
349,2025-04-06T14:52:12.072132700,0,0,193,21,
350,2025-04-06T14:55:55.554671,170,170,146,10,
351,2025-04-06T14:55:57.083670700,0,0,111,13,
352,2025-04-06T14:59:50.402349600,191,191,146,9,
353,2025-04-06T14:59:51.718846100,0,0,107,12,
354,2025-04-06T15:00:26.167508700,199,199,146,9,
355,2025-04-06T15:00:27.642008300,0,0,108,10,
356,2025-04-06T15:02:38.066880100,154,154,151,6,
357,2025-04-06T15:02:39.970882900,0,0,187,14,
358,2025-04-06T15:02:46.150888200,0,0,3768,62,
359,2025-04-06T15:03:17.094017100,0,0,2217,69,
360,2025-04-06T15:03:20.044429500,0,0,3708,82,
361,2025-04-06T15:03:23.197759900,105,105,3809,82,
362,2025-04-06T15:03:36.937647900,2,2,3976,82,
363,2025-04-06T15:03:37.679333500,0,0,4008,82,
364,2025-04-06T15:03:39.163638800,2,2,4047,82,
365,2025-04-06T15:03:40.188272,87,87,1970,83,
366,2025-04-06T15:03:41.533663100,1,1,2137,83,
367,2025-04-06T15:03:42.509838700,0,0,2167,83,
368,2025-04-06T15:03:44.584561800,77,77,2253,83,
369,2025-04-06T15:03:51.547984,0,0,2118,85,
370,2025-04-06T15:04:51.199523300,0,0,2154,85,
371,2025-04-06T17:53:52.373030400,199,199,146,10,
372,2025-04-06T17:56:02.028193100,10,10,210,18,
373,2025-04-06T17:56:13.447865300,0,0,238,21,
374,2025-04-06T17:56:16.503173700,2,2,107,24,
375,2025-04-06T17:56:30.349210100,108,107,181,24,
376,2025-04-06T17:56:31.639709200,0,0,318,24,
377,2025-04-06T18:01:28.282482700,150,150,149,6,
378,2025-04-06T18:01:30.242984600,0,0,220,7,
379,2025-04-06T18:01:55.972776,0,0,209,18,
380,2025-04-06T18:02:07.909463800,0,0,1855,36,
381,2025-04-06T18:02:35.513664900,164,164,1885,38,
382,2025-04-06T18:11:50.391519700,163,163,145,9,
383,2025-04-06T18:11:55.313663700,0,0,219,25,
384,2025-04-06T18:11:56.388347,0,0,226,26,
385,2025-04-06T18:12:00.319261100,183,182,283,31,
386,2025-04-06T18:12:04.790148700,0,0,400,32,
387,2025-04-06T18:12:40.102295300,5,5,416,35,
388,2025-04-06T18:12:41.362659600,0,0,280,36,
389,2025-04-06T18:12:43.813974800,92,92,360,36,
390,2025-04-06T18:12:45.111975400,4,4,406,40,
391,2025-04-06T18:12:46.500611200,0,0,305,41,
392,2025-04-06T18:12:47.181611800,84,84,386,41,
393,2025-04-06T18:12:48.919077100,1,1,269,44,
394,2025-04-06T18:12:49.502996400,0,0,300,44,
395,2025-04-06T18:12:50.790490500,2,2,338,44,
396,2025-04-06T18:12:51.922653400,85,85,415,44,
397,2025-04-06T18:12:53.205919700,7,7,285,45,
398,2025-04-06T18:13:00.666043900,88,88,371,45,
399,2025-04-06T18:13:29.377034700,1,1,380,46,
400,2025-04-06T18:13:30.456945300,0,0,411,46,
401,2025-04-06T18:13:31.497181600,76,75,166,47,
402,2025-04-06T18:13:33.049524,2,2,328,47,
403,2025-04-06T18:13:34.119371200,80,80,405,47,
404,2025-04-06T18:13:35.680431500,4,4,298,48,
405,2025-04-06T18:13:37.864907400,72,72,378,48,
406,2025-04-06T18:13:40.959612400,2,2,356,49,
407,2025-04-06T18:13:41.746600900,75,75,435,49,
408,2025-04-06T18:13:48.923119100,0,0,384,50,
409,2025-04-06T18:17:50.970977800,176,176,147,10,
410,2025-04-06T18:17:52.511977800,0,0,169,13,
411,2025-04-06T18:19:36.105315600,159,159,147,9,
412,2025-04-06T18:19:38.099317,0,0,205,12,
413,2025-04-06T18:22:02.679657900,148,148,148,6,
414,2025-04-06T18:22:46.012225400,152,152,146,8,
415,2025-04-06T18:22:47.408722500,0,0,168,11,
416,2025-04-06T18:22:52.031416400,107,107,123,14,
417,2025-04-06T18:22:54.149915100,0,0,225,26,
418,2025-04-06T18:22:56.094867500,128,128,291,33,
419,2025-04-06T18:22:58.703461300,0,0,247,43,
420,2025-04-06T18:23:03.220278500,97,97,323,43,
421,2025-04-06T18:23:05.134405400,0,0,494,43,
422,2025-04-06T18:23:08.770328900,84,84,302,44,
423,2025-04-06T18:23:12.077005,0,0,295,46,
424,2025-04-06T18:23:13.641079200,96,95,368,46,
425,2025-04-06T18:23:22.984654900,0,0,541,46,
426,2025-04-06T18:23:24.539764300,86,86,345,47,
427,2025-04-06T18:23:27.495740400,0,0,310,49,
428,2025-04-06T18:23:29.136537600,79,79,387,49,
429,2025-04-06T18:23:30.301156300,0,0,446,50,
430,2025-04-06T18:23:31.970690800,75,75,522,50,
431,2025-04-06T18:23:33.944459300,0,0,452,53,
432,2025-04-06T18:23:35.803489200,75,75,531,53,
433,2025-04-06T18:23:39.681411,0,0,466,56,
434,2025-04-06T18:23:47.618096700,75,75,539,56,
435,2025-04-06T18:23:48.470095300,0,0,465,58,
436,2025-04-06T18:23:50.721492900,76,76,538,59,
437,2025-04-06T18:23:51.775567,0,0,321,61,
438,2025-04-06T18:23:53.179221500,72,72,397,61,
439,2025-04-06T18:23:54.001720900,0,0,211,73,
440,2025-04-06T18:23:55.703469800,93,93,296,81,
441,2025-04-06T18:23:56.693480900,0,0,239,92,
442,2025-04-06T18:23:58.313698600,73,73,319,92,
443,2025-04-06T18:24:30.317988500,0,0,479,92,
444,2025-04-06T18:25:21.014160,147,147,147,9,
445,2025-04-06T18:25:22.033158200,0,0,116,12,
446,2025-04-06T18:25:23.906745800,97,97,123,16,
447,2025-04-06T18:25:25.415246100,0,0,191,25,
448,2025-04-06T18:25:27.891106500,113,112,295,36,
449,2025-04-06T18:25:30.712625700,0,0,416,37,
450,2025-04-06T18:25:31.806403500,86,86,289,38,
451,2025-04-06T18:25:47.331946400,0,0,273,40,
452,2025-04-06T18:25:54.375151600,0,0,3830,49,
453,2025-04-06T18:25:57.928398900,90,90,3904,49,
454,2025-04-06T18:29:37.655069300,179,179,146,8,
